Date,MaxTemp,MinTemp,MeanTemp,DepartureTemp,HDD,CDD,PrecipAmt,Precipitation,New Snow,Snow Depth,Bryan
2016-03-01,57,43,50,5.5,15,0,0.81,1,0,0,1
2016-03-02,54,45,49.5,4.8,15,0,0.28,1,0,0,1
2016-03-03,58,48,53,8.2,12,0,0.03,1,0,0,1
2016-03-04,55,42,48.5,3.6,16,0,0.16,1,0,0,1
2016-03-05,64,47,55.5,10.4,9,0,0.19,1,0,0,1
2016-03-06,59,43,51,5.8,14,0,0.16,1,0,0,1
2016-03-07,51,40,45.5,0.2,19,0,0.2,1,0,0,1
2016-03-08,53,39,46,0.5,19,0,0.14,1,0,0,1
2016-03-09,55,42,48.5,2.9,16,0,0.93,1,0,0,1
2016-03-10,55,42,48.5,2.8,16,0,0.23,1,0,0,1
2016-03-11,60,36,48,2.1,17,0,0.32,1,0,0,1
2016-03-12,50,40,45,-1,20,0,0.15,1,0,0,1
2016-03-13,54,39,46.5,0.4,18,0,0.62,1,0,0,1
2016-03-14,47,39,43,-3.3,22,0,0.25,1,0,0,1
2016-03-15,50,38,44,-2.4,21,0,0,0,0,0,1
2016-03-16,53,39,46,-0.6,19,0,0,0,0,0,1
2016-03-17,57,34,45.5,-1.2,19,0,0,0,0,0,1
2016-03-18,63,47,55,8.2,10,0,0,0,0,0,0
2016-03-19,61,50,55.5,8.6,9,0,T,1,0,0,0
2016-03-20,54,48,51,3.9,14,0,0.17,1,0,0,0
2016-03-21,55,46,50.5,3.3,14,0,0.34,1,0,0,1
2016-03-22,55,44,49.5,2.2,15,0,T,1,0,0,1
2016-03-23,51,45,48,0.6,17,0,0.23,1,0,0,1
2016-03-24,52,43,47.5,0,17,0,0,0,0,0,1
2016-03-25,56,43,49.5,1.8,15,0,0,0,0,0,1
2016-03-26,58,42,50,2.2,15,0,0.13,1,0,0,1
2016-03-27,55,40,47.5,-0.4,17,0,0.18,1,0,0,0
2016-03-28,55,38,46.5,-1.5,18,0,T,1,0,0,0
2016-03-29,63,40,51.5,3.4,13,0,0,0,0,0,0
2016-03-30,68,42,55,6.8,10,0,0,0,0,0,0
2016-03-31,71,47,59,10.7,6,0,0,0,0,0,0
2016-04-01,71,48,59.5,11.1,5,0,0,0,0,0,0
2016-04-02,62,46,54,5.5,11,0,0,0,0,0,0
2016-04-03,68,45,56.5,7.9,8,0,0.16,1,0,0,0
2016-04-04,58,45,51.5,2.7,13,0,0.03,1,0,0,0
2016-04-05,56,44,50,1.1,15,0,0,0,0,0,0
2016-04-06,69,44,56.5,7.5,8,0,0,0,0,0,0
2016-04-07,78,50,64,14.9,1,0,0,0,0,0,0
2016-04-08,76,50,63,13.8,2,0,0,0,0,0,0
2016-04-09,64,47,55.5,6.2,9,0,0,0,0,0,0
2016-04-10,58,46,52,2.6,13,0,0,0,0,0,0
2016-04-11,58,48,53,3.4,12,0,0,0,0,0,0
2016-04-12,57,44,50.5,0.8,14,0,0.32,1,0,0,0
2016-04-13,58,44,51,1.2,14,0,0.1,1,0,0,0
2016-04-14,59,44,51.5,1.5,13,0,0.15,1,0,0,0
2016-04-15,59,47,53,2.9,12,0,0,0,0,0,0
2016-04-16,67,44,55.5,5.2,9,0,0,0,0,0,0
2016-04-17,80,48,64,13.6,1,0,0,0,0,0,0
2016-04-18,89,54,71.5,20.9,0,7,0,0,0,0,0
2016-04-19,84,56,70,19.3,0,5,0,0,0,0,0
2016-04-20,81,53,67,16.1,0,2,0,0,0,0,0
2016-04-21,72,51,61.5,10.4,3,0,T,1,0,0,0
2016-04-22,62,52,57,5.8,8,0,T,1,0,0,1
2016-04-23,64,51,57.5,6.1,7,0,0.01,1,0,0,1
2016-04-24,55,46,50.5,-1.1,14,0,0.3,1,0,0,1
2016-04-25,59,44,51.5,-0.3,13,0,0.11,1,0,0,0
2016-04-26,59,43,51,-1,14,0,0,0,0,0,0
2016-04-27,63,48,55.5,3.3,9,0,0,0,0,0,0
2016-04-28,63,50,56.5,4.1,8,0,0,0,0,0,0
2016-04-29,61,48,54.5,1.9,10,0,0.01,1,0,0,0
2016-04-30,67,45,56,3.2,9,0,0,0,0,0,0
2016-05-01,79,50,64.5,11.5,0,0,0,0,0,0,0
2016-05-02,87,54,70.5,17.3,0,6,0,0,0,0,0
2016-05-03,72,56,64,10.6,1,0,T,1,0,0,0
2016-05-04,60,52,56,2.4,9,0,0,0,0,0,0
2016-05-05,68,48,58,4.1,7,0,0,0,0,0,0
2016-05-06,77,50,63.5,9.4,1,0,0,0,0,0,0
2016-05-07,82,52,67,12.7,0,2,0,0,0,0,0
2016-05-08,66,48,57,2.5,8,0,0.03,1,0,0,0
2016-05-09,67,46,56.5,1.8,8,0,0,0,0,0,0
2016-05-10,75,47,61,6.1,4,0,0,0,0,0,0
2016-05-11,80,52,66,10.9,0,1,0,0,0,0,1
2016-05-12,76,49,62.5,7.2,2,0,0,0,0,0,1
2016-05-13,84,50,67,11.5,0,2,0,0,0,0,1
